node,collocate,cooc,coll_freq,logDice,register
conversational,rely,7,85,6.597,other
conversational,target,7,87,6.595,other
conversational,select,7,94,6.591,other
conversational,association,7,94,6.591,other
conversational,utterance,7,94,6.591,other
conversational,external,7,106,6.584,other
conversational,content,7,109,6.582,other
conversational,space,7,117,6.577,other
conversational,owner,7,120,6.576,other
conversational,satisfaction,7,123,6.574,other
conversational,ask,7,151,6.557,other
conversational,socially,6,6,6.423,other
conversational,corss,6,7,6.423,other
conversational,attributes,6,6,6.423,instrumental
conversational,bubbles,6,6,6.423,other
conversational,rtcp,6,8,6.422,other
conversational,powered,6,8,6.422,other
conversational,rise,6,10,6.421,other
conversational,recwizard,6,10,6.421,other
conversational,rec,6,11,6.42,other
conversational,sapient,6,11,6.42,other
conversational,guapp,6,15,6.418,other
conversational,supervised,6,15,6.418,other
conversational,faceted,6,14,6.418,other
conversational,physical,6,17,6.416,other
conversational,graphs,6,18,6.416,other
conversational,destination,6,18,6.416,other
conversational,proceedings,6,17,6.416,other
conversational,educational,6,19,6.415,other
conversational,based,6,19,6.415,other
conversational,justification,6,20,6.414,other
conversational,phase,6,21,6.414,other
conversational,map,6,20,6.414,other
conversational,collection,6,24,6.412,other
conversational,sale,6,26,6.411,other
conversational,inspire,6,25,6.411,other
conversational,particularly,6,29,6.409,other
conversational,tail,6,28,6.409,other
conversational,communicate,6,30,6.408,other
conversational,co,6,30,6.408,other
conversational,linear,6,32,6.407,other
conversational,communication,6,33,6.406,other
conversational,examine,6,33,6.406,other
conversational,useful,6,35,6.405,other
conversational,tackle,6,35,6.405,other
conversational,great,6,35,6.405,other
conversational,combination,6,35,6.405,other
conversational,critical,6,37,6.404,other
conversational,making,6,36,6.404,other
conversational,popular,6,38,6.403,other
conversational,typically,6,39,6.403,other
conversational,explain,6,41,6.401,other
conversational,trust,6,42,6.401,other
conversational,fully,6,44,6.399,other
conversational,joint,6,44,6.399,other
conversational,power,6,44,6.399,other
conversational,virtual,6,47,6.398,other
conversational,style,6,48,6.397,other
conversational,cold,6,58,6.391,other
conversational,indicate,6,59,6.39,other
conversational,overall,6,59,6.39,other
conversational,highlight,6,61,6.389,other
conversational,factor,6,66,6.386,other
conversational,align,6,66,6.386,other
conversational,suggestion,6,75,6.38,other
conversational,identify,6,83,6.376,other
conversational,order,6,86,6.374,other
conversational,reduce,6,90,6.371,other
conversational,benchmark,6,104,6.363,other
conversational,experimental,6,125,6.35,other
conversational,employ,6,143,6.339,other
conversational,sociable,5,5,6.161,other
conversational,sixth,5,5,6.161,other
